Open,High,Low,Volume,Close
19.71,20.08,19.58,79500,20.08
19.38,20.05,19.38,66300,19.73
19.51,19.59,19.17,58000,19.35
19.20,19.60,19.20,32800,19.34
19.43,19.73,19.22,30400,19.35
19.97,20.07,19.24,49300,19.30
19.11,20.05,19.02,56400,19.98
19.55,19.65,19.24,23700,19.26
19.38,19.59,19.38,25200,19.55
19.54,19.65,19.33,28400,19.43
19.37,19.73,19.35,36400,19.49
19.36,19.71,19.35,26600,19.44
19.25,19.49,19.17,64700,19.37
19.47,19.63,19.16,32900,19.21
19.64,19.64,19.43,17800,19.52
19.59,19.64,19.54,45000,19.60
19.54,19.65,19.33,30700,19.52
19.73,19.73,19.56,44500,19.62
19.12,19.60,19.02,30000,19.55
19.38,19.73,19.21,45800,19.25
19.64,19.71,19.43,54300,19.53
19.52,19.73,19.40,70300,19.57
19.49,19.92,19.33,60500,19.47
19.38,19.50,19.10,75200,19.43
18.95,19.53,18.92,125600,19.30
19.26,19.31,18.89,60600,19.01
19.11,19.34,19.04,48200,19.31
19.31,19.31,19.05,38800,19.18
19.49,19.50,19.23,38100,19.41
19.47,19.50,19.17,50100,19.47
19.61,19.63,19.22,49900,19.46
19.96,20.09,19.46,69100,19.58
19.84,20.02,19.55,114400,19.96
18.96,19.67,18.77,110500,19.49
19.26,19.30,18.89,66900,18.99
18.93,19.32,18.93,103800,19.23
18.73,19.05,18.54,79300,18.96
18.79,18.96,18.69,35200,18.89
18.51,18.99,18.45,216000,18.73
18.54,18.65,18.28,37200,18.42
17.92,18.66,17.87,201700,18.59
18.04,18.22,17.68,62600,17.91
18.71,18.71,18.03,67700,18.06
18.19,18.62,18.17,38600,18.45
18.16,18.21,17.72,63800,18.16
18.13,18.50,17.90,74700,18.22
17.93,18.24,17.70,47500,18.07
17.94,18.20,17.79,96100,17.87
18.04,18.10,17.64,62100,17.99
17.76,18.23,17.30,70800,18.04
17.85,18.10,17.77,60900,17.84
18.11,18.11,17.81,114300,17.95
17.85,18.22,17.66,52100,17.97
17.28,17.72,17.18,45700,17.66
17.28,17.52,17.18,68500,17.31
17.70,17.78,17.29,56000,17.33
17.61,17.85,17.52,39200,17.66
17.78,17.82,17.62,25300,17.73
18.01,18.05,17.65,47400,17.78
17.90,18.24,17.77,60000,18.08
18.15,18.21,17.91,49800,17.91
18.21,18.29,18.01,54200,18.22
18.64,18.64,18.13,63900,18.26
18.60,18.77,18.49,59200,18.61
18.54,18.65,18.41,57000,18.63
18.45,18.69,18.45,34300,18.57
18.53,18.57,18.40,95200,18.45
18.65,18.72,18.40,65900,18.54
18.48,18.68,18.48,44800,18.62
18.53,18.70,18.45,60400,18.60
18.47,18.67,18.45,44200,18.52
18.56,18.78,18.42,102500,18.56
18.30,18.53,18.12,110400,18.50
18.89,18.97,18.41,35700,18.41
18.94,18.96,18.67,52800,18.83
18.89,19.03,18.77,84300,18.86
18.51,18.68,18.50,55800,18.64
18.54,18.65,18.44,37600,18.52
18.59,18.69,18.49,54500,18.59
18.41,18.68,18.36,38900,18.56
18.51,18.87,18.37,45400,18.40
18.82,19.11,18.44,47500,18.49
18.45,19.16,18.29,109500,18.84
18.41,18.53,18.21,60500,18.41
18.55,18.68,18.41,52700,18.45
18.28,18.69,18.24,136200,18.59
18.24,18.28,18.08,119000,18.19
17.89,18.20,17.84,103700,18.05
17.79,18.03,17.63,57000,17.87
17.56,17.85,17.45,62900,17.77
17.70,17.84,17.46,77700,17.54
17.71,17.86,17.48,85400,17.59
18.02,18.65,17.64,139800,17.72
17.00,18.22,16.52,316400,17.88
16.03,16.18,15.90,60800,16.02
16.07,16.19,15.95,72000,16.04
16.13,16.31,15.95,64000,16.04
16.04,16.50,16.04,96800,16.13
16.27,16.29,16.14,43200,16.19
