Data,Open0,Close0,Max0,Min0,Vol0,Open1,Close1,Max1,Min1,Vol1,Open2,Close2,Max2,Min2,Vol2,OpenMA15,CloseMA15,MaxMA15,MinMA15,VolumeMA15,OpenMA30,CloseMA30,MaxMA30,MinMA30,VolumeMA30,OpenMA45,CloseMA45,MaxMA45,MinMA45,VolumeMA45,Williams%R(10),MACD,RSI(14),InflacjaCPIMM,Kurs USD/PLN,Wibor ON,Wibid ON,BrentOil,Zloto,NextDayClosing
3/5/2010,2366.51,2389.37,2395.44,2358.33,90798845,2346.02,2361.62,2376.85,2336.73,89744106,2356.08,2357.54,2365.32,2334.53,89588923,2278.2946666666666666666666667,2281.992,2298.244,2256.632,86718210,2299.7293333333333333333333333,2291.939,2315.349,2274.2886666666666666666666667,87096218,2351.478,2346.9284444444444444444444444,2367.0793333333333333333333333,2329.2342222222222222222222222,89185865,-2.8863528292914883499762244400,0,71.247872943845717526942711288,0.3,0.01330,3.55,3.25,0.0659,3175.43,2406.55
3/8/2010,2402.38,2406.55,2406.55,2381.49,91451643,2366.51,2389.37,2395.44,2358.33,90798845,2346.02,2361.62,2376.85,2336.73,89744106,2289.7573333333333333333333333,2291.816,2308.068,2267.518,87091535,2299.4776666666666666666666667,2291.5616666666666666666666667,2314.703,2273.5283333333333333333333333,87081877,2351.464,2346.0833333333333333333333333,2366.0997777777777777777777778,2328.756,89153748,0,0,69.033873972937475182504047161,0.3,0.01330,3.55,3.25,0.0659,3175.43,2393.88
3/9/2010,2400.17,2393.88,2400.48,2374.53,90970134,2402.38,2406.55,2406.55,2381.49,91451643,2366.51,2389.37,2395.44,2358.33,90798845,2297.9586666666666666666666667,2302.106,2316.1006666666666666666666667,2277.3553333333333333333333333,87482560,2299.88,2291.7363333333333333333333333,2314.945,2273.778,87088510,2350.1204444444444444444444444,2344.5628888888888888888888889,2364.3124444444444444444444444,2327.0426666666666666666666667,89095972,-5.722415428390768257982927600,0,73.163704638891586546243242368,0.3,0.01330,3.55,3.25,0.0659,3175.43,2412.18
3/10/2010,2391.37,2412.18,2425.09,2383.5,91665363,2400.17,2393.88,2400.48,2374.53,90970134,2402.38,2406.55,2406.55,2381.49,91451643,2304.7873333333333333333333333,2310.79,2325.1026666666666666666666667,2284.868,87812543,2300.0853333333333333333333333,2293.0286666666666666666666667,2315.8926666666666666666666667,2274.1646666666666666666666667,87137622,2348.4637777777777777777777778,2343.2151111111111111111111111,2363.2515555555555555555555556,2325.6164444444444444444444444,89044749,-5.380287559908314232131694100,0,74.960112911143838978890525282,0.3,0.01330,3.55,3.25,0.0659,3175.43,2403.05
3/11/2010,2408.98,2403.05,2419.09,2399.42,91318421,2391.37,2412.18,2425.09,2383.5,91665363,2400.17,2393.88,2400.48,2374.53,90970134,2313.9593333333333333333333333,2320.942,2334.7846666666666666666666667,2295.1706666666666666666666667,88198329,2300.4376666666666666666666667,2294.366,2316.3306666666666666666666667,2275.4086666666666666666666667,87188441,2347.9006666666666666666666667,2342.474,2362.5975555555555555555555556,2324.9853333333333333333333333,89016588,-10.051076249543962057643195910,0,71.396147905305298994420452038,0.3,0.01330,3.55,3.25,0.0659,3175.43,2415.82
3/12/2010,2415.27,2415.82,2445.13,2408.82,91803685,2408.98,2403.05,2419.09,2399.42,91318421,2391.37,2412.18,2425.09,2383.5,91665363,2326.5113333333333333333333333,2332.0313333333333333333333333,2346.3933333333333333333333333,2307.494,88619717,2302.2603333333333333333333333,2295.472,2318.4136666666666666666666667,2277.4153333333333333333333333,87230468,2346.8073333333333333333333333,2341.9273333333333333333333333,2362.0784444444444444444444444,2324.4724444444444444444444444,88995812,-15.963182833179020750503785200,0,78.968908838867251963825995116,0.3,0.01330,3.55,3.25,0.0659,3175.43,2392.78
3/15/2010,2416.21,2392.78,2416.97,2385.36,90928372,2415.27,2415.82,2445.13,2408.82,91803685,2408.98,2403.05,2419.09,2399.42,91318421,2335.4566666666666666666666667,2340.3966666666666666666666667,2355.2086666666666666666666667,2316.2406666666666666666666667,88937624,2303.997,2296.4586666666666666666666667,2319.6183333333333333333333333,2278.3643333333333333333333333,87267971,2345.7171111111111111111111111,2340.1335555555555555555555556,2360.772,2322.848,88927650,-30.558636390169867491681746540,0,75.045480208267988206511511198,0.3,0.01330,3.55,3.25,0.0659,3175.43,2445.34
3/16/2010,2401.43,2445.34,2445.34,2399.65,92925694,2416.21,2392.78,2416.97,2385.36,90928372,2415.27,2415.82,2445.13,2408.82,91803685,2343.9686666666666666666666667,2354.0673333333333333333333333,2366.366,2327.152,89457139,2304.5303333333333333333333333,2298.825,2321.567,2279.5646666666666666666666667,87357898,2344.3273333333333333333333333,2340.0586666666666666666666667,2360.3064444444444444444444444,2322.0397777777777777777777778,88924810,0,0,86.68092437474009386324481673,0.3,0.01330,3.55,3.25,0.0659,3175.43,2465.98
3/17/2010,2471.03,2465.98,2496.88,2452.31,93710110,2401.43,2445.34,2445.34,2399.65,92925694,2416.21,2392.78,2416.97,2385.36,90928372,2359.8253333333333333333333333,2369.594,2383.2853333333333333333333333,2342.7306666666666666666666667,90047171,2306.983,2301.5593333333333333333333333,2324.7216666666666666666666667,2282.1266666666666666666666667,87461809,2345.1942222222222222222222222,2340.2348888888888888888888889,2361.0682222222222222222222222,2322.5822222222222222222222222,88931512,-19.294411489228847955042147990,0,84.57250989162222604507139171,0.3,0.01330,3.55,3.25,0.0659,3175.43,2445.4
3/18/2010,2459.62,2445.4,2471.93,2437.24,92927808,2471.03,2465.98,2496.88,2452.31,93710110,2401.43,2445.34,2445.34,2399.65,92925694,2374.736,2386.0633333333333333333333333,2398.2046666666666666666666667,2359.5373333333333333333333333,90673019,2309.8893333333333333333333333,2306.8746666666666666666666667,2327.7763333333333333333333333,2287.17,87663794,2344.8251111111111111111111111,2340.0886666666666666666666667,2360.9726666666666666666666667,2322.4646666666666666666666667,88925954,-37.156261277517141826055575600,0,77.236507881276314415950450608,0.3,0.01330,3.55,3.25,0.0659,3175.43,2441.39
3/19/2010,2446.12,2441.39,2488.5,2414.21,92775402,2459.62,2445.4,2471.93,2437.24,92927808,2471.03,2465.98,2496.88,2452.31,93710110,2390.072,2397.822,2413.104,2373.4306666666666666666666667,91119860,2316.166,2315.066,2335.4656666666666666666666667,2294.4553333333333333333333333,87975065,2344.7155555555555555555555556,2340.0666666666666666666666667,2361.412,2321.9975555555555555555555556,88925115,-45.353494074376787903555373930,0,70.159453302961275626423690205,0.3,0.01330,3.55,3.25,0.0659,3175.43,2437.59
3/22/2010,2446.1,2437.59,2449.64,2411.91,105713470,2446.12,2441.39,2488.5,2414.21,92775402,2459.62,2445.4,2471.93,2437.24,92927808,2401.1446666666666666666666667,2407.738,2423.8233333333333333333333333,2383.4566666666666666666666667,92368831,2323.6743333333333333333333333,2323.3406666666666666666666667,2342.6623333333333333333333333,2302.679,88725594,2344.8124444444444444444444444,2339.4508888888888888888888889,2361.064,2321.3688888888888888888888889,89192433,-48.459337964854924397221087050,0,67.670301531941194649242859036,0.3,0.01330,3.55,3.25,0.0659,3175.43,2456.24
3/23/2010,2450.72,2456.24,2469.22,2446.19,106522263,2446.1,2437.59,2449.64,2411.91,105713470,2446.12,2441.39,2488.5,2414.21,92775402,2411.8673333333333333333333333,2414.982,2431.4953333333333333333333333,2394.948,93522949,2331.494,2331.7063333333333333333333333,2350.595,2310.7096666666666666666666667,89482909,2344.5648888888888888888888889,2338.7135555555555555555555556,2360.6151111111111111111111111,2321.3002222222222222222222222,89457356,-35.844064208855177279943552650,0,69.624191139870582379293180687,0.3,0.01330,3.55,3.25,0.0659,3175.43,2445.32
3/24/2010,2471.27,2445.32,2482.17,2434.41,106048709,2450.72,2456.24,2469.22,2446.19,106522263,2446.1,2437.59,2449.64,2411.91,105713470,2419.5466666666666666666666667,2420.834,2439.2853333333333333333333333,2401.6066666666666666666666667,94620268,2339.911,2339.3786666666666666666666667,2358.471,2318.0956666666666666666666667,90211927,2344.2984444444444444444444444,2337.7328888888888888888888889,2360.1831111111111111111111111,2320.2884444444444444444444444,89711735,-46.233859397417503586800573890,0,62.474916387959866220735785953,0.3,0.01330,3.55,3.25,0.0659,3175.43,2495.13
3/25/2010,2462.58,2495.13,2510.29,2458.33,108208775,2471.27,2445.32,2482.17,2434.41,106048709,2450.72,2456.24,2469.22,2446.19,106522263,2427.3173333333333333333333333,2429.7346666666666666666666667,2448.1813333333333333333333333,2409.7133333333333333333333333,95851246,2347.3876666666666666666666667,2350.108,2367.536,2327.6106666666666666666666667,91066018,2343.82,2338.28,2360.6477777777777777777777778,2320.3502222222222222222222222,90030108,-12.134795485471864243976626910,0,67.241513547181563375895359701,0.3,0.01330,3.55,3.25,0.0659,3175.43,2495.65
3/26/2010,2497.86,2495.65,2513.56,2483.59,108231511,2462.58,2495.13,2510.29,2458.33,108208775,2471.27,2445.32,2482.17,2434.41,106048709,2436.074,2436.82,2456.056,2418.064,97013424,2357.1843333333333333333333333,2359.406,2377.15,2337.348,91865817,2345.1775555555555555555555556,2340.2326666666666666666666667,2362.2513333333333333333333333,2322.2137777777777777777777778,90401953,-13.970358814352574102964118560,0,70.79230172026314714174804887,0.3,0.01330,3.55,3.25,0.0659,3175.43,2485.35
3/29/2010,2502.2,2485.35,2523.27,2480.59,107784568,2497.86,2495.65,2513.56,2483.59,108231511,2462.58,2495.13,2510.29,2458.33,108208775,2442.7286666666666666666666667,2442.0733333333333333333333333,2463.8373333333333333333333333,2424.6706666666666666666666667,98102285,2366.243,2366.9446666666666666666666667,2385.9526666666666666666666667,2346.0943333333333333333333333,92596910,2347.228,2341.7322222222222222222222222,2364.4144444444444444444444444,2323.9091111111111111111111111,90755346,-30.674648115191716550719948230,0,65.454315042453427955899125585,0.3,0.01330,3.55,3.25,0.0659,3175.43,2506.24
3/30/2010,2505.98,2506.24,2513.59,2491.61,108690927,2502.2,2485.35,2523.27,2480.59,107784568,2497.86,2495.65,2513.56,2483.59,108231511,2449.7826666666666666666666667,2449.564,2471.378,2432.476,99283671,2373.8706666666666666666666667,2375.835,2393.7393333333333333333333333,2354.9156666666666666666666667,93383116,2349.8475555555555555555555556,2344.3455555555555555555555556,2367.0893333333333333333333333,2326.6773333333333333333333333,91153564,-15.292744252873563218390804600,0,70.763411002454827156022375146,0.3,0.01330,3.55,3.25,0.0659,3175.43,2495.6
3/31/2010,2494.3,2495.6,2517.24,2490.43,108229463,2505.98,2506.24,2513.59,2491.61,108690927,2502.2,2485.35,2523.27,2480.59,107784568,2456.6446666666666666666666667,2455.1253333333333333333333333,2477.5213333333333333333333333,2439.6046666666666666666666667,100387945,2380.716,2382.9576666666666666666666667,2401.312,2362.2363333333333333333333333,94100244,2352.2717777777777777777777778,2347.0608888888888888888888889,2369.7688888888888888888888889,2329.3113333333333333333333333,91554396,-24.847341954022988505747126440,0,66.191751907777236564377333983,0.3,0.01330,3.55,3.25,0.0659,3175.43,2552.5
4/1/2010,2510.84,2552.5,2552.5,2510.07,110697104,2494.3,2495.6,2517.24,2490.43,108229463,2505.98,2506.24,2513.59,2491.61,108690927,2463.4353333333333333333333333,2465.0886666666666666666666667,2486.4153333333333333333333333,2446.9813333333333333333333333,101679857,2388.6973333333333333333333333,2393.0153333333333333333333333,2410.60,2371.076,94939093,2354.7702222222222222222222222,2351.2735555555555555555555556,2373.0255555555555555555555556,2332.5995555555555555555555556,92018913,0,0,78.499036471343944043965455714,0.4,-0.03230,3.31,3.01,0.0573,3483,2575.36
4/6/2010,2565.41,2575.36,2576.75,2550.34,111688524,2510.84,2552.5,2552.5,2510.07,110697104,2494.3,2495.6,2517.24,2490.43,108229463,2473.4446666666666666666666667,2475.7246666666666666666666667,2495.19,2456.416,103005513,2399.978,2403.878,2420.7916666666666666666666667,2381.955,95812615,2359.3217777777777777777777778,2355.5562222222222222222222222,2377.3391111111111111111111111,2337.0822222222222222222222222,92488817,-0.843241931570007279786459600,0,75.950023950183618074405237107,0.4,-0.03230,3.31,3.01,0.0573,3483,2561.5
4/7/2010,2569.5,2561.5,2575.09,2540.83,111087277,2565.41,2575.36,2576.75,2550.34,111688524,2510.84,2552.5,2552.5,2510.07,110697104,2483.664,2486.9726666666666666666666667,2505.7313333333333333333333333,2466.7806666666666666666666667,104349440,2409.5603333333333333333333333,2413.6846666666666666666666667,2430.47,2391.5106666666666666666666667,96643532,2363.886,2359.9633333333333333333333333,2381.656,2341.1697777777777777777777778,92961794,-10.713783897709709147112547420,0,69.594650036924591778124230737,0.4,-0.03230,3.31,3.01,0.0573,3483,2522.36
